INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object
7db19242-b8fe-4416-a8b3-aac130815ba7	0.95	10320566	Whereas growth hormone releasing hormone (GHRH), gonadotropin releasing hormone (GnRH), thyrotropin releasing hormone (TRH), neuropeptide Y (NPY) and cholecystokinin (CCK) failed to induce any change in GH release, corticotropin releasing hormone (CRH) dose-dependently stimulated GH release with a significant effect at 1 nM and a maximal effect (> or = 400% of controls at 24 h) at 100 nM.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:GH1))
21ddcbb4-72de-4741-b0db-51de2afdb5d1	0.86	10320721	Moderate concentrations of GRP (1 and 10 nM) were able to increase the release of corticotropin releasing factor (CRF)-like material in the medium of isolated hypothalami, whereas higher concentrations (100 and 1000 nM) were needed to elevate ACTH and corticosterone secretion in pituitary and adrenal quarters, respectively.	reach	p(HGNC:GRP)	directlyIncreases	act(p(HGNC:CRH))
e01af65d-4f92-4dfd-a277-f64bac48ce4f	0.95	10414997	In gonadal-intact rats, ADX increased corticotropin releasing factor (CRH) and vasopressin (AVP) mRNA in hypothalamic parvocellular paraventricular nuclei (PVN) and ACTH in pituitary and plasma.	reach	p(HGNC:FDX1)	directlyIncreases	act(p(HGNC:CRH))
26b37c94-252f-4f1a-8864-94c5ad9de7ec	0.95	10425469	The effect of CRH to increase LH pulse amplitude occurs in the face of increased cortisol levels, further reinforcing our belief that this adrenal steroid does not affect the reproductive axis in this species.	reach	p(HGNC:CRH)	directlyIncreases	act(p(FPLX:LH))
61298ef6-8a33-44f3-a254-ddaa5dceb5e0	0.95	10425469	The stimulatory effects of CRH on LH secretion are to increase the amplitude of GnRH pulses and/or the responsiveness of the pituitary to the actions of GnRH with no effect on the frequency of GnRH pulses.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:GNRH1))
d2c53b43-d164-4699-aad1-68b290e9dd70	0.95	10430502	Compared to control animals, lipopolysaccharide injected rats showed elevated plasma corticosterone (614 +/-65 vs 185 +/-40 ng/ml in control) and increased expression of paraventricular corticotropin releasing hormone messenger RNA (+200%); expression of neurotensin messenger RNA was induced in about one-third of corticotropin releasing hormone neurons, whereas vasopressin messenger RNA expression remained unchanged.	reach	p(HGNC:NTS)	directlyIncreases	act(p(HGNC:CRH))
34fc3f2b-71ec-4eb2-ace5-5e4c766d68e9	0.95	10433177	In the corticotroph like murine pituitary tumor cell line, AtT-20, adrenocorticotropic hormone release is triggered by corticotropin releasing hormone and is attenuated by the synthetic adrenal steroid dexamethasone.	reach	p(HGNC:POMC)	directlyIncreases	act(p(HGNC:CRH))
6063fc17-66fd-41fd-9028-10845328df32	0.94	10447739	Corticotrophin releasing hormone (CRH) or platelet activating factor (PAF) also increased the expression of mRNA for IL-1beta and the release of IL-1beta from some, but not all, fetal membranes.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:IL1B))
b8fabb1a-2dee-4d57-8f38-f27d3a80c2ec	0.86	10465281	CRH can also positively regulate CRH-BP gene expression to 6.1 times control levels.	reach	p(HGNC:CRH)	directlyIncreases	p(HGNC:CRHBP)
1cd49add-8caa-41cc-ac13-8ace44f4fd51	0.86	10487181	Therefore we tested the hypothesis that VGB decreases CRH gene expression in the immature rat brain, consistent with the notion that VGB may decrease seizures also by reducing the levels of the convulsant molecule, CRH.	reach	p(UP:Q7WQB0)	directlyDecreases	p(HGNC:CRH)
e01af65d-4f92-4dfd-a277-f64bac48ce4f	0.95	10516480	ADX increased CRH mRNA in the PVN, as did LPS, but no enhancement of this response was seen in LPS and ADX animals.	reach	p(HGNC:FDX1)	directlyIncreases	act(p(HGNC:CRH))
b0822523-ca7c-4828-a6bd-00365f726de2	0.95	10650962	In summary, i.c.v. CART activates central CRH neurons as well as both magnocellular (presumably neurohypophysial) and parvicellular (presumably descending) oxytocinergic neurons of the PVN.	reach	p(HGNC:CARTPT)	directlyIncreases	act(p(HGNC:CRH))
7113d6f7-c36b-41dc-9b60-fa2e146dc14c	0.86	10657736	In the DEX-CRH test, plasma cortisol concentrations showed higher values before (DEX pretreated) and after CRH stimulation in the MS patients than in the controls (AUC (cortisol) 738.3 +/- 154.5 vs. 295.7 +/- 55.8; p < 0.05), this finding was more pronounced in chronic progressive patients.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:MTR))
8a1fe567-88fd-4cc4-88fb-6814fe735c72	0.92	10695724	IL-10 enhances corticotropin releasing factor (CRF) and corticotropin (ACTH) production in hypothalamic and pituitary tissues, respectively.	reach	p(HGNC:IL10)	directlyIncreases	act(p(HGNC:CRH))
f54e6c4f-6176-4503-a231-0020599f89f3	0.95	10729788	The ACTH response to Dyn A (1-17) could not be blocked by alpha-helical CRH (CRH antagonist) and was additive with a maximal stimulatory dose of CRH, suggesting different mechanisms of action.	reach	p(HGNC:CRH)	directlyDecreases	act(p(HGNC:POMC))
cc8ef8f9-08ec-431a-b062-fd7b8233715d	0.95	10733946	We examined whether corticotropin releasing factor (CRF) was involved in orexin induced grooming and face washing behaviors, and whether orexin was involved in the stress reaction.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:ELOVL6))
b5aecbbc-a7c8-41c9-826f-5ab542fb8702	1.0	10742109	Corticotropin-releasing hormone (Crh), a 41-residue polypeptide, activates two G-protein-coupled receptors, Crhr1 and Crhr2, causing (among other transductional events) phosphorylation of the transcription factor Creb.	sparser	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:CRHR2))
938b944d-a498-4e81-a994-31709cb3c407	0.98	10762336	Adult offspring of CBX treated dams had persistently reduced body weight, increased basal corticosterone (CORT) levels, increased corticotropin releasing hormone (CRH) and reduced glucocorticoid receptor (GR) mRNA in the hypothalamic paraventricular nucleus, though hippocampal GR and mineralocorticoid receptor (MR) mRNA expression were unaltered.	reach	p(HGNC:GSR)	directlyIncreases	act(p(HGNC:CRH))
09db32f3-45a1-407d-bd01-18e94a67f172	0.95	10762336	Adult offspring of CBX treated dams had persistently reduced body weight, increased basal corticosterone (CORT) levels, increased corticotropin releasing hormone (CRH) and reduced glucocorticoid receptor (GR) mRNA in the hypothalamic paraventricular nucleus, though hippocampal GR and mineralocorticoid receptor (MR) mRNA expression were unaltered.	reach	p(HGNC:NR3C1)	directlyIncreases	act(p(HGNC:CRH))
dc7d303f-591d-43a3-8da2-274bd24c3cfa	0.95	10764453	Corticotropin releasing hormone can increase cortisol and decrease gonadotropin releasing hormone.	reach	p(HGNC:CRH)	directlyDecreases	act(p(PFAM:PF00446))
55ac41e8-0a6f-4744-a954-429c71193610	0.86	10777063	We now report that CRH, sauvagine, and urocortin inhibit proliferation of human HaCaT keratinocytes in a dose-dependent manner.	sparser	p(HGNC:CRH)	directlyDecreases	act(p(HGNC:IGSF8))
e4fee956-2702-4fb5-ba71-186f16515f20	0.95	10784113	Y1 receptor involvement in NPY modulation of CRH neuronal function in the PVH appears to be indirect through modulation of neuronal afferents making contact with CRH neurons.	reach	p(HGNC:NPY)	directlyIncreases	act(p(HGNC:CRH))
c15b2b93-63da-4fff-8ee2-c94b04806955	0.95	10854266	These data indicate that in membranes of rat frontal cortex, activation of muscarinic M (1) receptors potentiates CRH stimulated adenylyl cyclase activity through betagamma subunits of G (q/11).	reach	p(HGNC:CRH)	directlyIncreases	act(p(PFAM:PF04199))
439ed5c8-821d-43a6-9bb5-a43f2de8da9a	0.86	10936035	Plasma levels of cortisol, growth hormone (GH), adrenocorticotropin hormone (ACTH), alpha-melanocyte-stimulating hormone (alpha-MSH), N-acetyl-beta-endorphin, in vitro ACTH stimulated cortisol secretion, and in vitro corticotropin releasing hormone (CRH) - and thyrotropin releasing hormone (TRH)-stimulated ACTH and alpha-MSH secretion were investigated in gilthead sea bream exposed to high stocking density (30 kg m (-3)) for 23 days.	reach	p(HGNC:GH1)	directlyIncreases	act(p(HGNC:CRH))
34fc3f2b-71ec-4eb2-ace5-5e4c766d68e9	0.95	10936035	Plasma levels of cortisol, growth hormone (GH), adrenocorticotropin hormone (ACTH), alpha-melanocyte-stimulating hormone (alpha-MSH), N-acetyl-beta-endorphin, in vitro ACTH stimulated cortisol secretion, and in vitro corticotropin releasing hormone (CRH) - and thyrotropin releasing hormone (TRH)-stimulated ACTH and alpha-MSH secretion were investigated in gilthead sea bream exposed to high stocking density (30 kg m (-3)) for 23 days.	reach	p(HGNC:POMC)	directlyIncreases	act(p(HGNC:CRH))
8f9e6e03-4cf1-49c0-bc02-862af0aa23f3	0.95	10949075	Stress, in the form of mechanical, psychological or immunological insult to an organism results in the activation of the hypothalamo-pituitary-adrenal (HPA) axis initiated by the hypothalamic release of corticotropin releasing factor (CRF).	reach	p(HGNC:HPSE)	directlyIncreases	act(p(HGNC:CRH))
4f6c1b15-443d-4f2c-b8a6-64b8737ef0d1	0.95	11027848	However, we have recently demonstrated that orexin stimulates the release of corticotropin releasing hormone (CRF) which has been known to decrease the food intake.	reach	p(HGNC:HCRT)	directlyIncreases	act(p(HGNC:CRH))
bb272fa1-26a7-4223-bec5-9bab533a9a21	0.95	11053526	This rapid reduction in CRH concentration in the ARC after leptin administration is more likely due to stimulated CRH release from this region than to decreased synthesis and transport from the PVN because leptin stimulates CRH synthesis in the PVN.	reach	p(HGNC:LEP)	directlyIncreases	act(p(HGNC:CRH))
30a01dd6-157e-40e1-a14c-c3663062b6f4	0.86	11069122	CRH mRNA levels were maximally increased by medium interval pulses and AVP mRNA by rapid interval pulses.	reach	p(HGNC:AVP)	directlyIncreases	p(HGNC:CRH)
96b658f6-756f-4874-984a-447f029da923	0.95	11084955	In addition to its control of the adrenal hormones, CRH stimulates somatostatin secretion at the hypothalamic level, which, in turn, causes inhibition of growth hormone and thyroid stimulating hormone at the pituitary level.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:SST))
9e526f79-4c24-40e4-91df-5384b5293c25	0.88	11085902	It would therefore appear that gp120 activates CRH and AVP producing neurons in the hypothalamic PVN and stimulates the release of both peptides in vitro via NO dependent mechanisms.	reach	p(UP:P04578)	directlyIncreases	act(p(HGNC:CRH))
9e526f79-4c24-40e4-91df-5384b5293c25	0.88	11085902	It would therefore appear that gp120 activates CRH and AVP-producing neurons in the hypothalamic PVN and stimulates the release of both peptides in vitro via NO-dependent mechanisms.	sparser	p(UP:P04578)	directlyIncreases	act(p(HGNC:CRH))
262ecd9d-b4b9-4edf-af28-06299cd14dfb	0.86	11117536	We therefore hypothesized that activation of MAPK might mediate CRH and or/urocortin actions in the myometrium.	reach	p(FPLX:ERK)	directlyIncreases	act(p(HGNC:CRH))
01d42e5a-5ff2-4fc1-a2b5-5c3675964107	0.94	11208914	In addition, the photoaffinity experiments indicated that the CRH receptors preferentially activate the 45 kDa form of the Gs alpha protein.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:GLUL))
01d42e5a-5ff2-4fc1-a2b5-5c3675964107	0.94	11208914	Our results show that CRH receptors are coupled to and activate at least five different G-proteins (Gs, Gi, Gq/11, Go and Gz) with subsequent stimulation of at least two intracellular signalling cascades.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:GLUL))
b0822523-ca7c-4828-a6bd-00365f726de2	0.95	11223006	CART (55-102) (100 nM) peptide significantly stimulated the release of CRH, TRH and neuropeptide Y from hypothalamic explants but significantly reduced alpha melanocyte stimulating hormone release in vitro.	reach	p(HGNC:CARTPT)	directlyIncreases	act(p(HGNC:CRH))
55ac41e8-0a6f-4744-a954-429c71193610	0.86	11249206	In earlier studies, we showed that CRH inhibits cellular proliferation of immortalized human keratinocytes.	sparser	p(HGNC:CRH)	directlyDecreases	act(p(HGNC:IGSF8))
00870dad-3b22-4978-9c89-3c56973d7210	0.95	11261504	Importantly, selective blocking of melanocortin receptors prevented ACTH induced down-regulation of CRH expression.	reach	p(HGNC:POMC)	directlyIncreases	p(HGNC:CRH)
00870dad-3b22-4978-9c89-3c56973d7210	0.95	11261504	Taken together, these data indicate that ACTH activates central melanocortin receptors to modulate CRH gene expression in amygdala, supporting the notion that direct, steroid independent actions of ACTH may account for some of its established clinical effects on the CNS.	reach	p(HGNC:POMC)	directlyIncreases	p(HGNC:CRH)
e44b2097-67e2-4a8e-9609-fecd642e4675	0.92	11261504	The results demonstrated that ACTH potently reduced CRH expression in amygdala neurons.	reach	p(HGNC:POMC)	directlyDecreases	p(HGNC:CRH)
e398de43-06ca-43d3-acc7-9b64078535ba	0.92	11315917	Furthermore, glucocorticoids dramatically suppressed cytokine- and CRH induced synovial NURR1 mRNA.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:NR4A2))
b0a6c27e-00e4-4f45-839d-11033f619565	0.86	11315917	Synovial CRH functioned in a paracrine manner to induce NURR1 and NUR77.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:NR4A1))
e398de43-06ca-43d3-acc7-9b64078535ba	0.92	11315917	Synovial CRH functioned in a paracrine manner to induce NURR1 and NUR77.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:NR4A2))
703b0a12-01ee-4722-ba9c-8b73353cc0fe	0.92	11340336	Leptin and corticosterone downregulated CRH expression in the paraventricular hypothalamic nucleus (PVH).	reach	p(HGNC:LEP)	directlyDecreases	p(HGNC:CRH)
74cfca92-f9b2-4250-96ab-0286baa36425	0.95	11340336	Leptin and corticosterone enhanced the expression of CRH in the central nucleus of amygdala and in the bed nucleus of the stria terminalis.	reach	p(HGNC:LEP)	directlyIncreases	p(HGNC:CRH)
6c9dbfb7-88cd-4015-8fd3-80bd53b26798	0.86	11340339	To assess whether endogenous UI and CRH modulate fish appetite, goldfish were given intraperitoneal implants of the glucocorticoid receptor antagonist, RU-486 (50 and 100 microg/g), or the cortisol synthesis inhibitor, metyrapone (100 and 200 microg/g), and food intake was monitored over the following 72 h. Fish treated with either RU-486 or metyrapone were characterized by a sustained and dose dependent reduction in food intake.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:SH3PXD2A))
7db19242-b8fe-4416-a8b3-aac130815ba7	0.95	11382894	In patients with depression, enhanced secretion of ACTH and cortisol, a reduction in slow wave sleep (SWS) and a blunted nocturnal growth hormone (GH) surge have been described and attributed, at least partly, to an elevation of corticotropin releasing hormone (CRH), hence a shift in the ratio between growth hormone releasing hormone (GHRH) and CRH.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:GH1))
3c3ed73b-8f50-4b86-b896-24ccb990daf8	0.92	11382894	In patients with depression, enhanced secretion of ACTH and cortisol, a reduction in slow wave sleep (SWS) and a blunted nocturnal growth hormone (GH) surge have been described and attributed, at least partly, to an elevation of corticotropin releasing hormone (CRH), hence a shift in the ratio between growth hormone releasing hormone (GHRH) and CRH.	reach	p(HGNC:CRH)	directlyIncreases	act(p(PFAM:PF07507))
c17cf0f8-9c7a-4b61-97a9-72085c3d0999	0.95	11403094	CRH-R1 mediates CRH induced blood pressure elevation, while peripheral CRH-R2 mediates the hypotensive effect of systemically administered UCN and CRH.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:CRH))
fb996f24-2ca3-411c-8f57-9684053d527b	0.94	11403094	CRH-R1 mediates CRH induced blood pressure elevation, while peripheral CRH-R2 mediates the hypotensive effect of systemically administered UCN and CRH.	reach	p(HGNC:CRHR2)	directlyIncreases	act(p(HGNC:CRH))
c17cf0f8-9c7a-4b61-97a9-72085c3d0999	0.95	11403094	CRH-R2 mediates a central anxiolytic response, opposing the anxiogenic effect of CRH mediated by CRH-R1.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:CRH))
d9cf0248-7789-4cb2-8b38-7da34c7c5cb4	0.92	11440811	The Y1 receptor antagonist blocked the anxiolytic like effect of neuropeptide Y, while the Y2 receptor antagonist was ineffective.We conclude that neuropeptide Y in the dorsocaudal lateral septum may act as an endogenous anxiolytic and antagonize corticotropin releasing hormone (stress)-induced anxiety.	reach	p(HGNC:NPY)	directlyDecreases	act(p(HGNC:CRH))
d9cf0248-7789-4cb2-8b38-7da34c7c5cb4	0.92	11440811	The anxiogenic like effect of corticotropin releasing hormone was reversed by neuropeptide Y pretreatment.	reach	p(HGNC:NPY)	directlyDecreases	act(p(HGNC:CRH))
f54e6c4f-6176-4503-a231-0020599f89f3	0.95	11477205	In addition, a competitive corticotropin releasing factor antagonist ([D-phenylalanine (12), Norleucine (21,38)] corticotropin releasing factor (12-41) to block fetal pituitary ACTH secretion; 400 microg IP) and metyrapone (11beta-hydroxylase inhibitor to block adrenal cortisol synthesis; 15 mg IP and 15 mg intraamniotic) were administered, in combination with EGF (EGF+BLOCK; 40 microg IP; n = 4 fetuses).	reach	p(HGNC:CRH)	directlyDecreases	act(p(HGNC:POMC))
5e846fa9-4891-48de-a98b-14ab5c696742	0.95	11488255	AVP and OT have been shown to modulate the effect of Corticotropin Releasing Factor (CRF) on ACTH secretion and appear to play a key role in mediating the ACTH response to stress.	reach	p(HGNC:OXT)	directlyIncreases	act(p(HGNC:CRH))
d1e1357a-b711-4951-b4c8-e0e762513749	0.95	11525798	These findings indicate that IL-2 stimulates the synthesis of CRH in nerves that innervate the F344 rat spleen, and promote the appearance of CRH (+) immunocytes into draining mesenteric lymph nodes.	reach	p(HGNC:IL2)	directlyIncreases	act(p(HGNC:CRH))
e012ff70-1290-4c99-bc60-916f113c8a31	0.94	11528215	Administration of a corticotropin releasing hormone (CRH) receptor antagonist significantly inhibited ghrelin induced anxiogenic effects.	reach	p(HGNC:CRH)	directlyDecreases	act(p(HGNC:GHRL))
00870dad-3b22-4978-9c89-3c56973d7210	0.95	11573986	The data show that the blunted ACTH responses to acute stress during chronic osmotic stimulation are correlated with the inability of parvocellular neurons to increase VP rather than CRH expression.	reach	p(HGNC:POMC)	directlyIncreases	p(HGNC:CRH)
7aa8cc26-e596-446d-a6ee-5a9428e5b156	0.92	11590404	We found that antalarmin, a CRH receptor type 1 antagonist, decreased FasL expression and promoted apoptosis of activated T lymphocytes, an effect which was potentiated by CRH and inhibited by antalarmin.	reach	p(HGNC:CRH)	directlyDecreases	p(HGNC:FASLG)
1ab51939-521c-4899-9c28-92671df53162	0.86	11606324	CRH increased medium nitrites and iNOS protein expression in H5V cells pretreated with the selective CRH-R1 antagonist CP 154,526.	reach	p(HGNC:CRH)	directlyIncreases	p(HGNC:NOS2)
1ab51939-521c-4899-9c28-92671df53162	0.86	11606324	In fact, anti-Svg-30 inhibited CRH induced increase of nitrite release and iNOS expression in HUVEC cells.	reach	p(HGNC:CRH)	directlyIncreases	p(HGNC:NOS2)
703b0a12-01ee-4722-ba9c-8b73353cc0fe	0.92	11606425	As chronic neonatal leptin administration reduced stress induced corticotropin releasing factor mRNA expression and ACTH secretion in pups, we determined whether elevated leptin levels enhanced the feedback effect of glucocorticoids on the hypothalamic-pituitary-adrenal axis.	reach	p(HGNC:LEP)	directlyDecreases	p(HGNC:CRH)
b87fadb6-e3e3-4c1e-84dc-03559c82bbc6	0.95	11701250	As part of this function, ACTH is known to suppress the production of corticotropin releasing hormone (CRH), a peptide that is produced in response to diverse insults and stressors.The many etiologies of WS all lead to activation of the stress response, including increased production and secretion of the stress-neurohormone CRH.	reach	p(HGNC:POMC)	directlyDecreases	act(p(HGNC:CRH))
8a1fe567-88fd-4cc4-88fb-6814fe735c72	0.92	11737904	In this regard, IL-10 enhances corticotropin releasing factor and adrenocorticotropic hormone, and is therefore believed to regulate activity of the hypothalamo-pituitary axis [XREF_BIBR].	reach	p(HGNC:IL10)	directlyIncreases	act(p(HGNC:CRH))
a8b9825d-88c7-4258-9030-f54425ed6449	0.92	11790788	CRH induced Fas ligand production and apoptosis.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:FASLG))
b70d531d-d8e3-49cc-8e5d-c12047799a5d	0.95	11790788	These effects were mediated by the CRH type 1 receptor because its antagonist antalarmin blocked CRH induced apoptosis and Fas ligand expression.	reach	p(HGNC:CRH)	directlyIncreases	p(HGNC:FASLG)
a8b9825d-88c7-4258-9030-f54425ed6449	0.92	11790788	Thus, CRH promotes PC12 apoptosis via the CRH type 1 receptor, which induces Fas ligand production via activation of p38.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:FASLG))
517f4d48-0b8e-4b38-b6ba-77439dbfeb3e	0.94	11854458	CRH also caused acute activation of the membrane bound GC, shown by increased basal or atrial natriuretic peptide (ANP)-stimulated cGMP production.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:GC))
b929a375-324b-4a8e-af63-2c877e35a3a2	0.95	11854458	CRH also caused acute activation of the membrane bound GC, shown by increased basal or atrial natriuretic peptide (ANP)-stimulated cGMP production.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:NPPA))
08db3657-afae-4301-a77f-4eb00b1854a2	0.92	11860150	It is demonstrated for the first time that exogenously added CRH stimulates production of IL-6 and IL-11.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:IL11))
f557218e-8ccb-4512-8216-bedb8b4a5856	0.95	11875001	Defective central corticotropin releasing hormone (CRH) release has been postulated as playing a role in the genesis of fatigue and decreased hypothalamic CRH expression has been identified in an animal model of cholestatic liver injury.	reach	p(HGNC:CRH)	directlyDecreases	p(HGNC:CRH)
f3c6fc0e-3b9b-44e2-ad25-7683daf6afea	0.86	11883945	In vitro, apelin-13 stimulated the release of CRH and AVP from hypothalamic explants, but had no effect on NPY release.	reach	p(HGNC:APLN)	directlyIncreases	act(p(HGNC:CRH))
2432b9c3-fb82-4a04-9e04-8359f7ad7e75	0.86	11930227	The results demonstrated that intracerebroventricular (icv) injection of CRH increased AVP level in the VSA and the colonic temperature of the rats.	reach	p(HGNC:CRH)	directlyIncreases	p(HGNC:AVP)
2b340dd1-94e1-4149-9c5d-6a8afd57fc83	0.94	11935403	Although rapid GPCR desensitisation involves uncoupling of receptors from their G proteins, commonly mediated by receptor phosphorylation, and internalisation of receptors, desensitisation of neither the CRH nor VP receptor was mediated by PKA or PKC, respectively.	reach	p(FPLX:PKC)	directlyIncreases	act(p(HGNC:CRH))
414dda3f-2ace-4319-b808-451296da7d88	0.95	12011471	CRH, dehydroepiandrosterone, and 17 beta-estradiol did not modulate CRH-R expression, whereas testosterone at 10 (-7) M down-regulated CRH-R1 and CRH-R2 mRNA expression at 6 to 24 h, and growth hormone (GH) switched CRH-R1 mRNA expression to CRH-R2 at 24 h. Based on these findings, CRH may be an autocrine hormone for human sebocytes that exerts homeostatic lipogenic activity, whereas testosterone and growth hormone induce CRH negative feedback.	reach	p(HGNC:CRH)	directlyIncreases	p(HGNC:CRHR1)
4bd72bde-3f61-48a1-b82f-b38bbcdc18be	0.86	12011471	CRH, dehydroepiandrosterone, and 17 beta-estradiol did not modulate CRH-R expression, whereas testosterone at 10 (-7) M down-regulated CRH-R1 and CRH-R2 mRNA expression at 6 to 24 h, and growth hormone (GH) switched CRH-R1 mRNA expression to CRH-R2 at 24 h. Based on these findings, CRH may be an autocrine hormone for human sebocytes that exerts homeostatic lipogenic activity, whereas testosterone and growth hormone induce CRH negative feedback.	reach	p(HGNC:GH1)	directlyDecreases	act(p(HGNC:CRH))
81c78155-d5d4-46bf-b83c-e6f5b14aafc4	0.92	12021066	Half of the APs were dispersed, and cells were placed on immobilon and treated with vehicle, CRH (10 nM), or AVP (100 nM) for 2 h. Cells were then fixed and incubated with ACTH or pro opiomelanocortin (POMC) antibodies.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:SH2B2))
e44b2097-67e2-4a8e-9609-fecd642e4675	0.92	12040892	Experimental data showing that ACTH potently reduces CRH expression in amygdala neurons is presented.	reach	p(HGNC:POMC)	directlyDecreases	p(HGNC:CRH)
00870dad-3b22-4978-9c89-3c56973d7210	0.95	12040892	Importantly, selective blocking of melanocortin receptors prevented ACTH induced downregulation of CRH expression, providing direct evidence for the involvement of these receptors in the mechanisms by which ACTH exerts this effect.	reach	p(HGNC:POMC)	directlyIncreases	p(HGNC:CRH)
b87fadb6-e3e3-4c1e-84dc-03559c82bbc6	0.95	12055988	In contrast to the findings observed in obesity, the ACTH response to CRH is suppressed, suggesting an increased secretion of CRH.	reach	p(HGNC:POMC)	directlyDecreases	act(p(HGNC:CRH))
754b1128-1ef6-493e-9e77-52b61e70152a	0.95	12063637	These peptide hormones ' ability to decrease circulating prolactin concentrations may be mediated in part by dopamine and in part by their demonstrated ability to decrease corticotropin releasing hormone concentrations, which stimulate prolactin release.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:PRL))
