INDRA UUID	Confidence	Citation Source	Citation Reference	Evidence	Subject	Predicate	Object
1e3c10d5-3078-4032-833e-e2abb25b7f06	1.0	Other	sparser:Unknown	However, p300 could also induce tau acetylation indirectly by unknown mechanisms.	p(HGNC:EP300)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
1e3c10d5-3078-4032-833e-e2abb25b7f06	1.0	PubMed	23962722	In agreement with our results above, p300 increased acetylation of tau on KIGS motifs, and decreased tau polymerization.	p(HGNC:EP300)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
3825b201-f7ab-4dcf-a5c5-35604126469b	0.65	Other	sparser:Unknown	Like Ab708, antibody 9AB recognized recombinant tau acetylated by GST-p300, but not tau incubated with GST alone, suggesting that 9AB does not cross-react with non-ac-tau.	p(FPLX:GST)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
f1f77206-b0e1-48c8-8b0b-c4c63d993705	0.88	Other	sparser:Unknown	The data show that HDAC6 and acetylated tau are recruited to protein aggregates after proteasomal inhibition.	p(HGNC:HDAC6)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
f1f77206-b0e1-48c8-8b0b-c4c63d993705	0.88	PubMed	23962722	These results demonstrate that HDAC6 directly modulates the acetylation of tau by specifically deacetylating KIGS motifs.	p(HGNC:HDAC6)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
5c52a371-3dce-4357-a483-6d4b7515bd99	0.95	PubMed	17044810	Therefore, inhibition of Abeta induced deficits of histone acetylation and hyperphosphorylation of tau is helpful to treat AD.	p(FPLX:Histone)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
5c52a371-3dce-4357-a483-6d4b7515bd99	0.95	PubMed	22082362	Our data show that the hyperacetylation of Tau by p300 histone acetyltransferase (HAT) disfavors LLPS, inhibits heparin induced aggregation, and impedes access to LLPS initiated microtubule assembly.	p(FPLX:Histone)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
5c52a371-3dce-4357-a483-6d4b7515bd99	0.95	PubMed	PMC17044810	Therefore, inhibition of A β -induced deficits of histone acetylation and hyperphosphorylation of tau is helpful to treat AD.	p(FPLX:Histone)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
29adbc18-164b-4e1b-b713-3b5806694b44	0.65	PubMed	16846010	It is intriguing to speculate that the impact of tau acetylation on its function may be either beneficial or detrimental depending on the target residue and on the relative contributions of enzyme mediated acetylation and auto-acetylation of tau.	p(HGNC:IMPACT)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
6858c521-9def-4c8f-9b92-287a8704bbb8	0.65	Other	sparser:Unknown	Indeed, omitting DTT led to slightly reduced tau auto-acetylation of either full-length 2N4R-tau or tau-K18 proteins, as assessed by pan-[ 14 C]-acetyl-CoA labeling ( xref ).	p(HGNC:MAPT)	directlyIncreases	p(HGNC:KRT18, pmod(Ac))
48cc2cee-6001-472b-adf5-ea6d9f15e2af	0.65	Other	sparser:Unknown	SIRT1 Deficiency Increases Tau Acetylation and Suppresses Degradation of p-Tau.	p(HGNC:MAPT)	directlyIncreases	p(HGNC:SIRT1, pmod(Ac))
a368f880-c665-4b0c-9c77-a2b53d8b0253	0.65	PubMed	17324007	Earlier studies have shown that an excess of Tau protein increases hyperacetylation of alpha-tubulin, through an inhibitory effect on histone deactylase 6, whose substrates include tubulin XREF_BIBR.	p(HGNC:MAPT)	directlyIncreases	p(UP:Q71G51, pmod(Ac))
d28a0832-bcfe-4986-b408-ef0452568c03	0.86	PubMed	PMC18958247	To examine putative tau substrates, we next determined whether tau directly acetylated microtubules, as described for the tubulin acetyltransferase αTAT-1 (refs.	p(HGNC:MAPT)	directlyIncreases	p(HGNC:WHAMM, pmod(Ac))
d28a0832-bcfe-4986-b408-ef0452568c03	0.86	Other	sparser:Unknown	To examine putative tau substrates, we next determined whether tau directly acetylated microtubules, as described for the tubulin acetyltransferase αTAT-1 (refs.	p(HGNC:MAPT)	directlyIncreases	p(HGNC:WHAMM, pmod(Ac))
1692888a-9b71-4d2d-a8e4-2102116d49ce	0.65	Other	sparser:Unknown	Acetyltransferase p300-induced tau acetylation is inhibited by salsalate and salicylate, which enhance tau turnover and reduce tau levels.	p(HGNC:MAPT)	directlyIncreases	bp(GO:0016407, pmod(Ac))
25851eeb-3652-4d66-8ee4-6fc4219b69c8	0.65	PubMed	27356871	Acetylated tau destabilizes this MT based barrier in the AIS and thus could enter the somatodendritic compartment.	p(HGNC:MCAT)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
7cbc734a-0898-4311-91a1-4183bf23d2c9	0.86	PubMed	22051683	By deacetylating Tau, SIRT1 prevents accumulation of phosphorylated Tau proteins [XREF_BIBR].	p(HGNC:SIRT1)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
7cbc734a-0898-4311-91a1-4183bf23d2c9	0.86	PubMed	20869593	SIRT1 Reduces Tau Acetylation in Primary Neurons and in Vivo.	p(HGNC:SIRT1)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
51ad212d-5555-4db8-8509-8fbed6df6e7b	0.65	PubMed	20208154	Salsalate and methylene blue have both been shown to reduce tau acetylation in pre-clinical models, however the exact mechanism has not been fully elucidated and warrants further investigation [XREF_BIBR].	a(PUBCHEM:5161)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
9e1cc12d-a435-4b9f-98f4-8aff15cfc799	0.65	PubMed	23962722	Given that tubulin acetylation and acetylation of tau on KXGS motifs are both controlled by HDAC6, this would allow for tight regulation of microtubule dynamics and axonal transport.	p(FPLX:Tubulin)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
f257dcd8-69d1-436f-be6b-7dd5cf9427dd	0.86	Other	sparser:Unknown	Acetylation of Tau by p300 Acetyltransferase.	bp(GO:0016407)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
f257dcd8-69d1-436f-be6b-7dd5cf9427dd	0.86	Other	sparser:Unknown	Tau can be acetylated by the P300/CBP acetyltransferase, a 300 kDa CREB-binding protein at several Lys residues within its flanking region[ xref ] or repeat domain.[ xref ] Tau can also be deacetylated by sirtuin 1 and histone deacetylase 6.[ xref ] Tau acetylation at certain sites may have distinct effects on tau aggregation and degradation.	bp(GO:0016407)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
04472b42-34c4-4c3e-9637-9439fa3d4d78	0.65	PubMed	25881209	Acetylated tau also transitioned from a predominantly soluble 55 kD species to an insoluble 64 kD species in rTg4510 brain homogenates as the animals aged.	a(PUBCHEM:6426943)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
fe446253-fa9e-4734-aaa4-c1345162a227	0.65	PubMed	18621244	The observed increase in lag time could indicate that pseudophosphorylation at S422 impedes the ability of ARA to interact with tau, or decreases the ability of tau to adopt a specific filament assembly-competent conformation.	p(HGNC:ABCC6)	directlyIncreases	act(p(HGNC:MAPT))
9d7b2259-0a35-4c5d-b89f-cd3743fa9f56	0.86	PubMed	25384392	We previously demonstrated that lentiviral Abeta1-42 expression leads to p-Tau accumulation and inhibition of both the proteasome and autophagy [XREF_BIBR, XREF_BIBR, XREF_BIBR, XREF_BIBR], while the Abl tyrosine kinase inhibitor Nilotinib increases autophagic Abeta and p-Tau clearance, leading to decreased plaque levels in AD models [XREF_BIBR, XREF_BIBR].	p(HGNC:ABL1)	directlyIncreases	act(p(HGNC:MAPT))
9d7b2259-0a35-4c5d-b89f-cd3743fa9f56	0.86	PubMed	18363490	We previously demonstrated that lentiviral Abeta1-42 expression leads to p-Tau accumulation and inhibition of both the proteasome and autophagy [XREF_BIBR, XREF_BIBR, XREF_BIBR, XREF_BIBR], while the Abl tyrosine kinase inhibitor Nilotinib increases autophagic Abeta and p-Tau clearance, leading to decreased plaque levels in AD models [XREF_BIBR, XREF_BIBR].	p(HGNC:ABL1)	directlyIncreases	act(p(HGNC:MAPT))
6d1f1c44-3414-4735-a737-be281a682620	0.65	PubMed	17586023	Taking into account that increased cellular levels of zink can induce release of tau from microtubules and thereby impair microtubule stability, ADNP replacement therapy that we propose here may be of benefit to prevent microtubule disruption and pathological aggregation of tau.	p(HGNC:ADNP)	directlyIncreases	act(p(HGNC:MAPT))
eec117e8-1d51-4272-bc43-9fb0372f2fed	0.65	PubMed	17587687	AD is diagnosed by clinical mental tests, often combined with the detection of neurobiological markers, mainly brain imaging studies and a decreased amyloid beta (Abeta) level and/or increased total and hyper-phosphorylated Tau protein (tau-P) in cerebral spinal fluid.	p(PFAM:PF09793)	directlyIncreases	act(p(HGNC:MAPT, pmod(Ph)))
68ba22e2-6a06-45ff-9514-2e1aa13bbc78	0.92	PubMed	18862851	This hypothesis is supported by results obtained in a triple tg model of AD, which overexpresses human APP, PS1 and tau mutations.	p(PFAM:PF09793)	directlyIncreases	act(p(HGNC:MAPT, var(p.?)))
68ba22e2-6a06-45ff-9514-2e1aa13bbc78	0.92	PubMed	11203785	In this study, we used the same approach to study a triple-transgenic (3xTG) model of AD, which overexpresses human APP, PS1 and tau mutations, and progressively develops amyloid plaques, neurofibrillary tangles, and synaptic dysfunction.	p(PFAM:PF09793)	directlyIncreases	act(p(HGNC:MAPT, var(p.?)))
68ba22e2-6a06-45ff-9514-2e1aa13bbc78	0.92	PubMed	18642958	In this study, we used the same approach to study a triple-transgenic (3xTG) model of AD, which overexpresses human APP, PS1 and tau mutations, and progressively develops amyloid plaques, neurofibrillary tangles, and synaptic dysfunction.	p(PFAM:PF09793)	directlyIncreases	act(p(HGNC:MAPT, var(p.?)))
ad1df8e3-5f2b-46f8-a404-6614123f8654	0.65	PubMed	24464041	Genetic reduction of Ago3 suppressed tau neurotoxicity in Drosophila, and Ago3 and PIWIL1 was overexpressed in tau transgenic Drosophila and mice, and in human AD.	p(HGNC:AGO3)	directlyIncreases	act(p(HGNC:MAPT))
991e6b78-18cf-4356-ba09-868392309d79	0.65	PubMed	17745883	Chronically excessive activation of Akt also caused the development of Tau pathological and Abeta42 generation under insulin resistant situation in db/db and HSFD mouse brains.	p(FPLX:AKT)	directlyIncreases	act(p(HGNC:MAPT))
59e0bb51-c900-4cd7-a36d-0167732237dd	0.95	PubMed	21177183	AMPH also increased dialysate concentrations of ASP, GABA, DA and TAU, and decreased dialysate concentrations of the metabolites DOPAC, HVA and 5-HIAA.	p(HGNC:AMPH)	directlyIncreases	act(p(HGNC:MAPT))
59e0bb51-c900-4cd7-a36d-0167732237dd	0.95	PubMed	21177183	</ce:simple-para> </ce:caption> <ce:link locator="gr2"/> </ce:figure> <ce:figure id="FIG3"> <ce:label> Fig. 3 </ce:label> <ce:caption> <ce:simple-para view="all"> Effects of GLU uptake blockers PDC (4 mM) and DK (8 mM) on the increase in extracellular concentrations of ASP, GLU, GABA, TAU and DA produced by AMPH at the highest dose (20 mug and mul) (<ce:italic> n </ce:italic> = 3-6) (open bars).	p(HGNC:AMPH)	directlyIncreases	act(p(HGNC:MAPT))
59e0bb51-c900-4cd7-a36d-0167732237dd	0.95	PubMed	24205320	Chapius et al. showed that Amph, the BIN1 Drosophila ortholog, modulates Tau neurotoxicity in vivo in a Drosophila model system, the loss of Amph was able to suppress Tau induced neurotoxicity [XREF_BIBR].	p(HGNC:AMPH)	directlyIncreases	act(p(HGNC:MAPT))
59e0bb51-c900-4cd7-a36d-0167732237dd	0.95	PubMed	23399914	Variation of Amph expression, that is, the BIN1 Drosophila ortholog modulates Tau neurotoxicity in vivo.	p(HGNC:AMPH)	directlyIncreases	act(p(HGNC:MAPT))
59e0bb51-c900-4cd7-a36d-0167732237dd	0.95	PubMed	23399914	Together, these results are in accordance with the hypothesis that increased BIN1 expression in the brain might be deleterious and indicated that loss of Amph was able to suppress Tau induced neurotoxicity in Drosophila.	p(HGNC:AMPH)	directlyIncreases	act(p(HGNC:MAPT))
dcfb0cb8-4c19-4055-85f6-dc6aef901c38	0.88	PubMed	21892142	Indeed AMPK itself has been shown to target the same sites in Tau under some conditions as well 130.	p(FPLX:AMPK)	directlyIncreases	act(p(HGNC:MAPT))
dcfb0cb8-4c19-4055-85f6-dc6aef901c38	0.88	Other	sparser:Unknown	Here, we investigated the relationship between AMPK activation and phosphorylation of the tau protein in the brain of young (2-month-old) SAMP8 animals and in differentiated SH-SY5Y cells.	p(FPLX:AMPK)	directlyIncreases	act(p(HGNC:MAPT))
0e1402c9-6ce3-4892-b1b7-771366753e38	0.65	PubMed	18358045	To determine whether the Tau cleaving activity is caused by ApN, we fractionated this ApN preparation by hydrophobic chromatography on a TosoHaas butyl-650 column and tested the reactivity of the eluted fractions toward Tau and toward the aminopeptidase substrate Ala-4-MNA.	p(HGNC:ANPEP)	directlyIncreases	act(p(HGNC:MAPT))
290f6e16-c94f-46e7-ba70-2c5006881377	0.94	PubMed	22032791	Aberrant function of tau and Ng protein mediated by APOE epsilon4 may represent a critical event in the pathogenesis of AD.	p(HGNC:APOE)	directlyIncreases	act(p(HGNC:MAPT))
290f6e16-c94f-46e7-ba70-2c5006881377	0.94	PubMed	18112622	The authors of this study suggested that apoE variants could be modulating beta-amyloid 1-42 levels as well as tau pathology.	p(HGNC:APOE)	directlyIncreases	act(p(HGNC:MAPT))
290f6e16-c94f-46e7-ba70-2c5006881377	0.94	PubMed	6605146	In this study, we asked whether APOE promoter -491 (A/T) variants interact with APOE polymorphisms to modulate the degree of beta-amyloid- and tau related pathology in the medial temporal lobe of the non demented elderly.	p(HGNC:APOE)	directlyIncreases	act(p(HGNC:MAPT))
290f6e16-c94f-46e7-ba70-2c5006881377	0.94	PubMed	12471457	In this study, we asked whether APOE promoter -491 (A/T) variants interact with APOE polymorphisms to modulate the degree of beta-amyloid- and tau related pathology in the medial temporal lobe of the non demented elderly.	p(HGNC:APOE)	directlyIncreases	act(p(HGNC:MAPT))
23b9d185-8edd-4c5e-9b3a-a8310290f3fd	0.86	PubMed	11744535	Pretreatment of hippocampal neurons with DEX could up-regulate the increased levels of phosphorylated tau and p25 protein induced by Abeta (25-35) in vitro.	p(HGNC:APP)	directlyIncreases	act(p(HGNC:MAPT, pmod(Ph)))
23b9d185-8edd-4c5e-9b3a-a8310290f3fd	0.86	PubMed	11744535	These results suggest that DEX could potentiate Abeta induced learning and memory impairment and pathological damage in CA1 field of hippocampus in SD rats, which might be related to DEX up-regulating the levels of phosphorylated tau and p25 protein induced by Abeta (25-35).	p(HGNC:APP)	directlyIncreases	act(p(HGNC:MAPT, pmod(Ph)))
90860777-286a-4ad9-ae54-59c39024bc35	0.65	PubMed	18663080	Our genetic studies, which allowed us to examine the effect of chronic Fyn inhibition on APP processing in a low level Abeta environment (APP Swedish mutation and tau (P301L) mutation both driven by the Thy1.2 regulatory element in a PS1 (M146V) knock-in mouse), support the hypothesis that Fyn inhibition increases Abeta production in AD 3xTg mice.	p(HGNC:APP)	directlyIncreases	act(p(HGNC:MAPT, var(p.Pro301Leu)))
9a4ec452-f60d-4594-a3a5-b9621718711c	0.65	PubMed	22057290	Dilute Folin-Ciocalteu 's Phenol Reagent 1:1 w/dH 2 O (Sigma-Aldrich, F9252) 4 ARACHIDONIC ACID INDUCED FORMATION OF TAU OLIGOMERS.	a(PUBCHEM:444899)	directlyIncreases	act(p(HGNC:MAPT))
c6524039-4c8c-4bd4-88bf-3bc213697c62	0.65	PubMed	16082466	Increased Arf6 and cell polarity signaling through Par6 and atypical protein kinase Czeta (aPKCzeta) stimulated tau secretion.	p(HGNC:ARF6)	directlyIncreases	act(p(HGNC:MAPT))
bedcd6a3-ad86-4f7b-93bb-f174af6e2a34	0.65	PubMed	26538654	Sustained Arginase 1 Expression Modulates Pathological Tau Deposits in a Mouse Model of Tauopathy.	p(HGNC:ARG1)	directlyIncreases	act(p(HGNC:MAPT))
5ac455a2-b07c-4826-8e96-a8d94cc87a70	0.92	PubMed	17752022	In MC1 neuroblastoma cells overexpressing the four-repeat Tau isoform with no N-terminal insert, a C-terminal truncated form or the full-length Tau protein was found co-purified with exosomes as well as associated with the exosome fraction obtained from human cerebrospinal fluid.	p(HGNC:ATP7A)	directlyIncreases	act(p(HGNC:MAPT))
5ac455a2-b07c-4826-8e96-a8d94cc87a70	0.92	PubMed	22615831	Our results demonstrating that tau was secreted by an unconventional secretory pathway is consistent with recent studies reporting that tau was found in exosomes in culture medium from MC1 cells overexpressing human tau and that secreted tau by COS-7 and HEK-293 cells was present in microvesicles XREF_BIBR, XREF_BIBR.	p(HGNC:ATP7A)	directlyIncreases	act(p(HGNC:MAPT))
5ac455a2-b07c-4826-8e96-a8d94cc87a70	0.92	PubMed	17327220	Our results demonstrating that tau was secreted by an unconventional secretory pathway is consistent with recent studies reporting that tau was found in exosomes in culture medium from MC1 cells overexpressing human tau and that secreted tau by COS-7 and HEK-293 cells was present in microvesicles XREF_BIBR, XREF_BIBR.	p(HGNC:ATP7A)	directlyIncreases	act(p(HGNC:MAPT))
d98b2e49-d045-4775-87f0-2cc7b8b3196c	0.86	PubMed	9133274	Therefore, the annonacin induced ATP depletion causes the retrograde transport of mitochondria to the cell soma and induces changes in the intracellular distribution of tau in a way that shares characteristics with some neurodegenerative diseases.	a(CHEBI:15422)	directlyIncreases	act(p(HGNC:MAPT))
d98b2e49-d045-4775-87f0-2cc7b8b3196c	0.86	PubMed	18918862	Tau protein was detected in purified exosomes from microglia treated with LPS and ATP but not in purified exosomes from neurons or astrocytes similarly treated (XREF_FIG), confirming the presence of tau protein in exosomes from microglia.	a(CHEBI:15422)	directlyIncreases	act(p(HGNC:MAPT))
10283808-f039-4bdc-8f97-a2ffaf4aac1d	0.86	PubMed	865009	At 0.5 mM, AlCl3 stimulated Tau release to about 170% of basal levels, but did not affect the release of the other compounds.	a(PUBCHEM:24012)	directlyIncreases	act(p(HGNC:MAPT))
10283808-f039-4bdc-8f97-a2ffaf4aac1d	0.86	PubMed	3230743	AlCl3 had no effect on normal adult human CNS tau, while increasing concentrations of AlCl3 (from 0.1 to 1.0 mM) induced PHF tau to aggregate at the top of the stacking gel, and at high concentrations (0.3 and 1.0 mM) of AlCl3, PHF tau completely failed to enter the gel.	a(PUBCHEM:24012)	directlyIncreases	act(p(HGNC:MAPT))
2025cdd5-a4d2-484d-958a-76c7e236a95f	0.65	PubMed	20229411	Furthermore, Al accelerates the aggregation of hyper-phosphorylated Tau protein by inhibiting protein phosphatase 2A activity.	a(PUBCHEM:104727)	directlyIncreases	act(p(HGNC:MAPT, pmod(Ph)))
6d55b1d9-caad-4573-88b6-ba9d5bc7c8c3	0.65	PubMed	3284905	Alkaline phosphatase treatment increased the E-2 immunoreactivity of PHF-tau by 120% and normal tau by 38%, but it had no effect on E-3 immunoreactivity.	p(PFAM:PF00245)	directlyIncreases	act(p(HGNC:MAPT))
f46894d0-846b-4d51-9998-8ec5a5f8d4d0	0.65	PubMed	15638326	Aluminum causes the accumulation of tau protein and Abeta protein in the brain of experimental animals.	a(PUBCHEM:104727)	directlyIncreases	act(p(HGNC:MAPT))
24f8ff96-2709-49fe-ae26-db062043e44c	0.86	PubMed	6290214	Ammonia stimulated Tau accumulation in the microdialysates to approximately 250% of the basal value.	a(PUBCHEM:222)	directlyIncreases	act(p(HGNC:MAPT))
24f8ff96-2709-49fe-ae26-db062043e44c	0.86	PubMed	6337085	Ammonia strongly, and HE moderately, increased Tau efflux at 5 mM K+.	a(PUBCHEM:222)	directlyIncreases	act(p(HGNC:MAPT))
16068fb9-fc66-4940-847f-7f22769100d9	0.65	PubMed	3685382	Ammonium chloride stimulated TAU release in a dose dependent manner, a significant stimulation being already observed at 0.5 mM, a concentration that is frequently measured in brain during acute hyperammonemia.	a(PUBCHEM:25517)	directlyIncreases	act(p(HGNC:MAPT))
66b39fca-16a8-418a-ad6c-d52e7ed732d1	0.65	PubMed	16803091	Arachidonic acid, a free fatty acid triggers neurotoxicity through several mechanisms -- by inducing apoptosis, generating oxidative stress, and promoting Tau polymerization.	a(PUBCHEM:444899)	directlyIncreases	act(p(HGNC:MAPT))
473dfc85-c692-42ea-8db6-896dd7d377f1	0.95	PubMed	20678074	BAG-1 has been shown to inhibit degradation of tau by the 20S proteasome without affecting the ubiquitination of tau [XREF_BIBR].	p(HGNC:BAG1)	directlyIncreases	act(p(HGNC:MAPT))
473dfc85-c692-42ea-8db6-896dd7d377f1	0.95	PubMed	9292436	We further show that BAG-1 can inhibit the degradation of Tau protein by the 20 S proteasome but does not affect the ubiquitination of Tau protein.	p(HGNC:BAG1)	directlyIncreases	act(p(HGNC:MAPT))
473dfc85-c692-42ea-8db6-896dd7d377f1	0.95	PubMed	17954934	We further show that BAG-1 can inhibit the degradation of Tau protein by the 20 S proteasome but does not affect the ubiquitination of Tau protein.	p(HGNC:BAG1)	directlyIncreases	act(p(HGNC:MAPT))
473dfc85-c692-42ea-8db6-896dd7d377f1	0.95	PubMed	18585594	In contrast to its role in ubiquitination, Bag-1 also has been shown to inhibit proteosomal degradation of Tau protein, possibly due to enhancement of refolding activity of Hsc70 [XREF_BIBR].	p(HGNC:BAG1)	directlyIncreases	act(p(HGNC:MAPT))
473dfc85-c692-42ea-8db6-896dd7d377f1	0.95	PubMed	18752794	BAG-1 has been shown to inhibit degradation of tau by the 20S proteasome without affecting the ubiquitination of tau [XREF_BIBR].	p(HGNC:BAG1)	directlyIncreases	act(p(HGNC:MAPT))
473dfc85-c692-42ea-8db6-896dd7d377f1	0.95	PubMed	19317853	We have previously shown that the co-chaperone protein BAG-1 can inhibit the degradation of tau by forming a complex with Hsc-70 and tau.	p(HGNC:BAG1)	directlyIncreases	act(p(HGNC:MAPT))
473dfc85-c692-42ea-8db6-896dd7d377f1	0.95	PubMed	10246566	We have previously shown that the co-chaperone protein BAG-1 can inhibit the degradation of tau by forming a complex with Hsc-70 and tau.	p(HGNC:BAG1)	directlyIncreases	act(p(HGNC:MAPT))
10c4a3cc-877b-4264-b05a-3f36e19c10f5	0.65	PubMed	15428505	Transfection of the PUMA gene significantly enhanced the ability of Tau to inhibit proliferation and induce apoptosis of HepG2 cells.	p(HGNC:BBC3)	directlyIncreases	act(p(HGNC:MAPT))
e54fc773-c35b-4b5c-b261-b10bda0306ec	0.86	PubMed	18045303	Although BDNF increased tau act, other kinetic parameters of peak K + current remained unchanged, indicating that the main action of BDNF on suppressing I A are likely through reducing the total expression of Kv4.3, which correlates well with our previous results demonstrating reductions in Kv4.3 expression following Ang II treatment.	p(HGNC:BDNF)	directlyIncreases	act(p(HGNC:MAPT))
e54fc773-c35b-4b5c-b261-b10bda0306ec	0.86	PubMed	17568351	Since BDNF and tau protein are critical factors both engaged in neuronal physiology activity and the development of neurodegenerative disease XREF_BIBR, XREF_BIBR, the meaning of tau protein up-regulation by BDNF should be carefully interpreted.	p(HGNC:BDNF)	directlyIncreases	act(p(HGNC:MAPT))
